파일명,주요 업무,자격요건,우대사항
job/DE/sources/jobkorea/txt/0006b0ee-d129-426a-b3cb-88c662417242.txt,"담당업무
ㆍ홈 / 기업 네트워크 구축 및 유지보수지원분야
ㆍ전문적인 컴퓨터엔지니어로 성장하고 싶으신분
ㆍ주거지 인근권역에서 출장방문 수리가 가능하신분","자격요건
컴퓨터수리및판매
( ○○명 )","우대사항
ㆍ친절하고 긍정적인 마인드를 소유하신 분 
ㆍ도전 정신을 가지고 새로운 기술을 배우고 싶으신 분
ㆍ자유로운 근무시간을 선호하면서 자율적으로 책임감 있게 일할 수 있는 분"
job/DE/sources/jobkorea/txt/0035fbbe-8ac4-473a-a72e-624b646bf8a6.txt,"담당업무
ㆍRDBMS(관계형) 운영/관리
ㆍDataWarehouse 운영/관리
ㆍSQL 분석 및 튜닝
ㆍData Pipeline 관리 (ETL 배치 / 외부파일 DB적재 등)
ㆍDataLakeHouse 운영/관리
ㆍ고객사 상주 근무 (장기간)","자격요건
Data Engineer 채용",
job/DE/sources/jobkorea/txt/0071bc15-83c0-4d56-a083-71ed2374471a.txt,"담당업무
ㆍ데이터최적화팀은 아래 업무를 해주실 분을 찾고 있습니다.
  - 다양한 데이터를 가장 효과적으로 처리 할수 있는 방안을 제시합니다.  
  - 분산처리에 적합하게 코드를 튜닝하고 파이프라인을 설계 합니다.  
  - 솔루션 도입을 검토하고 최적의 솔루션을 찾아 문제를 해결합니다.","자격요건
데이터최적화팀
데이터 엔지니어","우대사항
ㆍ최적의 결과를 도출하는것에 관심이 있으신 분 
ㆍ새로운 언어나 기술에 대한 거부감이 없고, 필요에 따라 적절한 기술 스택을 선택할 수 있으신 분 
ㆍ데이터 분석 기술 및 도구에 대한 높은 관심과 이해를 보유하신 분 
ㆍ긍정적이고 다양한 부서와 원활한 커뮤니케이션이 가능하신 분 
ㆍTableau 나 파워BI 활용 경험이 있으신 분"
job/DE/sources/jobkorea/txt/00763064-c58a-416a-b7ae-6276678c7cf5.txt,"담당업무
ㆍKubernetes 기반 Private/Public Cloud 구축 및 기술 지원
ㆍDocker 기반의 가상화 구축 및 기술 지원","자격요건
Cloud Native 엔지니어 
( ○명 )

* 근무지: 서울 강남 
필수요건 
ㆍ학력 : 전문학사 이상
ㆍ경력 : 관련분야에서 3년 이상의 경력","우대사항
ㆍPublic Cloud(AWS, GCP, Azure) 자격증 소지자
ㆍCKA, CKAD 자격증 소지자
ㆍPython에 대한 이해 및 개발이 가능한 분
ㆍAPM 및 기타 Opensource에 대한 이해를 가지고 있는 분
ㆍ영문 IT 기술 문서 이해에 어려움이 없는 분
ㆍDB(RDBMS) DML/DDL에 대한 지식이 있는 분
ㆍ컴퓨터 공학 또는 전산학 관련 분야 전공자"
job/DE/sources/jobkorea/txt/008563c3-2802-4dba-a7ff-c2d7f2278ecf.txt,"담당업무
ㆍ데이터센터 건설현장 MEP(전기, 기계) 총괄
  - 전기/기계/소방/통신 시공 및 안전 관리 업무
  - 공사/품질/원가/일정/비용관리 등 공무 역할 수행
  - 설계 산출물 검토(Engineering report,도면,산출서,내역서,시방서 등) 및 시공 SHOP 관리
  - 각 공정별 하도급사 투입인력, 공사 품질 및 일정 조정 및 관리,CM/감리,설계사,발주처 대응
  - 고객 유치를 위한 기술 제안 지원 및 VE(Value Engineering) 수행","자격요건
DC 구축수행",우대
job/DE/sources/jobkorea/txt/00dc0d3b-1891-41a3-a776-7adc248919f6.txt,담당업무,"자격요건 및 근무요건 학력 근무지
공정기술Eng
(경력)
가공 공정 개선 담당
공정 Issue 대응 및 수율개선
가공 공정 관리 담당
신기술 도입 및 기술 레포팅
관련 업무 경력 7년 이상
기계가공 엔지니어링 전공자(CNC, MCT 등)
대졸
이상 아산
Utility 설비
담당자
(신입/경력)
(계약직)
Utility 설비 담당자
아산2공장 시설관리
(전기, 공조, 냉동, 배기, 초순수, 고압가스,
컴프레셔, 폐수, 냉각수 등)
전기설비/Utility 설비 관리 및 공사관리 업무
시설물 자료 및 데이터 관리
공조냉동기계 산업기사 이상 보유자
관련 업무 유경험자(5년 이상)
문서작성(PPT, 엑셀) 능숙한 자
향후 정규직 전환 검토
전졸
이상 아산
환경 관리자
(경력)
환경(수질, 대기) 관리자 모집
수질,대기, 화학물질, 폐기물 등
환경관리 정보 및 법규 검토, 환통법 대응,
자가측정대행 관리, 온실가스 규제 등
관련 업무 경력 3년 이상
수질, 대기 기사(산업기사) 자격증 소지자
통합환경관리법, 화학사고 예방 관리 계획서
작성 등 유경험자 우대
대졸
이상 아산
구매 관리 담당자
(신입)
구매관리 담당자
원자재/부자재 구매, 가격협의, 발주,
납기 관리, 재고관리
신규업체발굴, 시장대응 및 분석,
원자재/부자재별 구매전략 수립
협력 업체관리 등
중국어 가능자
경영, 무역 관련 전공자
경력자의 경우 반도체 소재 원자재/부자재
취급 경험자
전졸
이상 아산
해외 영업 담당자
(신입)
해외 영업 담당자
고객사 CRM
(판매계획 및 매출관리, 양산품질대응)
개발품 계획 및 내부 부서 협의
비즈니스 영어 가능자(Opic IH, 토스 LV 7)
반도체 제조업 유경험자 우대
대졸
이상 기흥
제품설계
(도면/모델링)
담당자
(신입/경력)
도면 및 모델링 담당자
제품 설계 수행
도면/모델링 작성 및 검토
시뮬레이션 수행
설계관련 경력 3~5년
기계/반도체/신소재/화학 등 이공계 전공자
S/W : CAD/CAM/CAE
자격 : 기계설계산업기사/기사
CAD/CAM/CAE 자격증 보유자 우대
영어 또는 일어 가능자 우대
대졸
이상 천안
생산 교대직
(신입)
반도체 소재가공 제조업무
CNC/MCT Si 소재 가공 operator
WireSaw, Band Saw, Rotary operator
DSG/Polishing operator
기계, 전자, 가공 등에 관심이 높은 자
제조업 이해도가 높은 자
교대 근무 경험자 우대
고졸,
전졸 천안,
아산
반도체 품질 검사원
비 접촉식 측정기
접촉식 3차원 측정기
외관검사 및 제품포장
클린룸 업무 가능자(방진복 착용)
계측기 활용 업무 경험자 우대
검사 업무 및 교대 근무 경험자 우대
공통
고용형태 : 정규직(단, 전 부문 수습기간(3개월)이며, 부적합시 수습탈락 가능)
급여조건 : 회사내규에 따름/면접시 협의
교대직 : 3조2교대/4근2휴, 근무 가능자(주간 08:00~20:00, 야간 20:00~익일08:00)
사무직 : 주 40시간(08:00~17:00, 주 5일근무제)
기숙사 : 직원 전용 기숙사 운용(충남 천안시 서북구 서부대로 475-1 쌍용동 소재)
면접비 지급
구직활동의 교통비용 부담을 최소화하기 위해 소정의 면접비를 지급하고 있음
복리후생
복지몰 사이트 운영 :
명절(설, 추석)선물,
생일축하 및 각종 이벤트 시
포인트 지급 검진&Health :
건강검진, 진료비지원
(본인/배우자/18세미만자녀)
100만원 한도내 실비 지급 출산 및 학자금지원 :
축하금 및 출산용품 지급,
자녀학자금(초, 중, 고, 대)지원 사내식당운영 :
조식, 중식, 석식, 야식
(사내식당 운영_단, 천안/
아산/판교사업장에 한함,
기흥 중식비 제공) 단체보험 :
4대보험(국민, 건강, 고용, 산재)
외 임직원 단체보험 각종 수당 및 시상제도 운영 :
직책수당, 자격선임수당,
제안시상금, 근속자시상,
우수사원시상 등 근무환경 :
휴게실(멀티자판기 또는
카페운영), 아이스크림(무제한),
휴양시설 제공 유연근무제 및
외출형 연차제도 운영 :
시차출퇴근제 운영
(사무직에 한함), 연차를
시간단위로 나누어 사용 사외 기숙사 운영 :
직원 전용 기숙사 제공
(천안/아산에 한함, 원룸형
2인실, 투룸형 4인실) 교통/출퇴근 :
통근버스 운행
(천안/아산사업장) 사내대출제도 운영 :
자격요건 충족 시
최대 3천만원 사내동호회 :
축구동호회, 배드민턴동호회,
낚시동호회, 볼링동호회,
골프동호회",
job/DE/sources/jobkorea/txt/00f57742-54ad-4565-be06-aa424fe8df58.txt,"담당업무
ㆍ전사 관점의 중장기 전략 및 신사업 추진 전략 수립
  - 시장, 기술 트렌드 분석을 통한 Insight 도출 및 신사업 기회 발굴
  - 전사 사업·기술 전략 로드맵 수립 및 사업 모델 도출
  - 회사 전략과 사업 우선순위에 대한 전사 Communication 및 경영진 의사결정 지원","자격요건
사업전략",우대
job/DE/sources/jobkorea/txt/01028313-ef66-484f-a8c2-cd3307c59479.txt,"담당업무
ㆍ디지털 기획, 플랫폼 서비스기획, 데이터 분석, AI(인공지능), IT, 정보보호 등 디지털/IT 유관
    본부부서 OJT 및 배치 본부부서 업무 지원 등","자격요건
디지털/IT","우대사항
ㆍ디지털/IT 직무 관련 전공자(학사 이상)
ㆍ디지털/IT 직무 관련 자격증 보유자(우대 자격증 당사 지원서 작성 페이지 참고)
ㆍ우리은행·금융보안원 모의해킹 경진대회(WooriCON)수상자
ㆍ우리 FIS 아카데미(FISA)수료생

공통 우대사항
ㆍ공인 외국어(영어)성적 우수자
ㆍ[장애인고용촉진 및 직업재활법]에 의한 장애인(상이등급이 기재된 국가유공자증 소지자 포함)
ㆍ[국가 유공자 등 예우 및 지원에 관한 법률]에 의한 취업 지원 대상자"
job/DE/sources/jobkorea/txt/01042cbf-e8db-4d37-b733-fd8a6ce5d810.txt,"직무상세
ㆍHandling 성능 연구를 위한 예측 기술 및 Tool 개발 
ㆍ차량 및 타이어 모델 기반 해석 기술 개발
ㆍSuper Car 전용 타이어 개발 
  - Sports car, Super car segment Tire 프로젝트 참여
ㆍ실차 성능 검증을 위한 Nurburgring, Nardo 및 전세계 Proving ground 평가
ㆍProffesional Driver 동승 후 해석 및 예측 기술 개발 검증 
ㆍDriving simulator 기반 Driver model 연구 
ㆍ자동차 OEM Technical Meeting","자격요건
 《 차량/타이어 동역학 》
Handling 성능 연구 &
해석 Tool 개발
직무상세
ㆍHandling 성능 연구를 위한 예측 기술 및 Tool 개발 
ㆍ차량 및 타이어 모델 기반 해석 기술 개발
ㆍSuper Car 전용 타이어 개발 
  - Sports car, Super car segment Tire 프로젝트 참여
ㆍ실차 성능 검증을 위한 Nurburgring, Nardo 및 전세계 Proving ground 평가
ㆍProffesional Driver 동승 후 해석 및 예측 기술 개발 검증 
ㆍDriving simulator 기반 Driver model 연구 
ㆍ자동차 OEM Technical Meeting

지원자격
ㆍ[학사 이상] 동역학/차량동역학/차량제어/해석/다물체동역학 관련 전공자 
ㆍ관련 연구 경험자 (하기 연구 관련 경험)
  - MBSE 기반 연구 경험자
  - FE (Abaqus) 해석 연구 경험자 
  - CarSim, CarMaker, VI-CRT등 차량동역학 Simulation 연구 경험자 
  - 차량동역학 Simulation용 샤시모델링 유 경험자 
  - MF-tyre, F-Tire등 타이어 동역학 연구 경력자
  - 성능 예측 기반 설계 전개 유 경험자 
  - Driving simulator 및 HiLS 장비 기반 연구 경험자","우대사항
ㆍ관련 전공의 석사/박사 학위자 우대
ㆍ차량동역학, 제어 관련 논문 등재 경험자"
job/DE/sources/jobkorea/txt/0210c4dc-4cbb-409b-a087-b245cff06da6.txt,,,
job/DE/sources/jobkorea/txt/02345358-132f-44f6-ae25-833dd3c13b39.txt,"담당업무
ㆍ모바일 앱, 웹 서비스 QA","자격요건
[IT]
QA 엔지니어","우대사항
ㆍ배포 주기가 빠른 서비스에 맞추어 적합한 QA Process를 제한 개선한 경험
ㆍQA 리딩 경험 및 대규모 프로젝트 리스크 관리/배포 경험
ㆍJira, Slack, Confluence 등의 툴 및 활용 경험"
job/DE/sources/jobkorea/txt/0240c9fe-bd3c-489f-bfe1-db73db795f9c.txt,"이런 업무를 해요
ㆍ고객의 비즈니스 요구사항을 데이터로 이해하여 구체화합니다.
ㆍ데이터 프로젝트를 기획 및 설계합니다.
- 고객과의 커뮤니케이션을 통해 데이터 사용 목적 / KPI 설정 / 시각화에 깊이 관여합니다.
- 데이터의 수집 가능 여부를 판단하여 데이터 파이프라인 요구사항을 작성합니다.
- 제공된 데이터와 쿼리를 사용해 데이터 모델 초안을 작성합니다.
ㆍ엔지니어링 팀과의 협업을 조율하여 프로젝트 일정을 관리합니다.
ㆍ데이터 검수 및 정합성을 확인하고 고객과 조율합니다.","이런 분들을 찾고 있어요
ㆍ학력 : 학력무관
ㆍ적극적인 고객과의 커뮤니케이션을 통해 요구사항을 구체화 가능하신 분이 필요해요
ㆍ데이터에 대한 이해도를 가지고 비즈니스 요구사항을 데이터로 번역하는 게 가능하신 분이 필요해요
ㆍ디지털 마케팅 또는 이커머스 연관 실무 경험이 있으신 분이 필요해요
ㆍ유동적이고 꼼꼼한 일정 관리가 가능하신 분이 필요해요
ㆍSQL을 사용한 쿼리 작성이 준수하신 분이 필요해요
이런 분이면 더 좋아요
ㆍ데이터 엔지니어링 전반에 대한 지식이 있는 분
ㆍ데이터 검수 및 정확성 관리 경험이 있으신 분
ㆍ다양한 데이터 가공 경험(SQL, Pandas 등)이 있으신 분
ㆍ비즈니스 회화가 가능하신 분
이런 기술이 필요해요
Google Analytics
MySQL
SQL
Notion
이런 조건에서 근무할 예정이에요
ㆍ고용 형태 : 정규직(수습 3개월)
ㆍ근무지 주소 : 서울 강남구 삼성로75길 32-11 (대치동, 대산빌딩) 3층
지도보기
ㆍ근무 요일/시간 : 주5일(월~금) 09:00 ~ 18:00
함께하면 이런 점들이 좋아요
[ 씨그로 DNA ]

ㆍ수평적이고 원만한 평어 소통으로 빠른 의사결정을 추구하고 있습니다. (강요하지 않아요!)
ㆍ아이디어에 대해 빠른 실행을 해보는 애자일 문화, 실패와 재도전을 장려하는 문화를 추구합니다.
ㆍ팀원 간의 신뢰와 협력을 기반으로 한 조직 문화를 추구합니다. 다양한 팀워크 활동과 열린 소통을 통해 강력한 팀 유대감을 형성하며, 공동의 목표를 향해 함께 나아가는 문화를 만들어갑니다.(2024년 전사 베트남 워크샵 진행)

[ 커리어 ]

ㆍ해외팀(베트남법인)과 일할 수 있는 글로벌 업무 환경을 제공합니다.
ㆍ직무관련 세미나 참석 및 교육비를 지원합니다.
ㆍ도서 구입비용을 지원합니다.
ㆍ자기계발 코칭 서비스를 지원합니다.

[자율적이고 몰입을 위한 근무 환경]

ㆍ유연출근제 : (출근) 8:00 ~ 10:30 / (퇴근) : 17:00 ~ 19:30
ㆍ자유로운 반차, 반반차, 시간차 사용 가능 (1분 단위 휴가를 사용할 수 있어 활용도가 높아요)
ㆍ근무 중 개인용무에 따른 휴게시간 활용이 가능합니다. (관공서, 병원, 은행 방문 등)
ㆍ최신 고사양 업무 장비 및","이런 분이면 더 좋아요
ㆍ데이터 엔지니어링 전반에 대한 지식이 있는 분
ㆍ데이터 검수 및 정확성 관리 경험이 있으신 분
ㆍ다양한 데이터 가공 경험(SQL, Pandas 등)이 있으신 분
ㆍ비즈니스 회화가 가능하신 분
이런 기술이 필요해요
Google Analytics
MySQL
SQL
Notion
이런 조건에서 근무할 예정이에요
ㆍ고용 형태 : 정규직(수습 3개월)
ㆍ근무지 주소 : 서울 강남구 삼성로75길 32-11 (대치동, 대산빌딩) 3층
지도보기
ㆍ근무 요일/시간 : 주5일(월~금) 09:00 ~ 18:00
함께하면 이런 점들이 좋아요
[ 씨그로 DNA ]

ㆍ수평적이고 원만한 평어 소통으로 빠른 의사결정을 추구하고 있습니다. (강요하지 않아요!)
ㆍ아이디어에 대해 빠른 실행을 해보는 애자일 문화, 실패와 재도전을 장려하는 문화를 추구합니다.
ㆍ팀원 간의 신뢰와 협력을 기반으로 한 조직 문화를 추구합니다. 다양한 팀워크 활동과 열린 소통을 통해 강력한 팀 유대감을 형성하며, 공동의 목표를 향해 함께 나아가는 문화를 만들어갑니다.(2024년 전사 베트남 워크샵 진행)

[ 커리어 ]

ㆍ해외팀(베트남법인)과 일할 수 있는 글로벌 업무 환경을 제공합니다.
ㆍ직무관련 세미나 참석 및 교육비를 지원합니다.
ㆍ도서 구입비용을 지원합니다.
ㆍ자기계발 코칭 서비스를 지원합니다.

[자율적이고 몰입을 위한 근무 환경]

ㆍ유연출근제 : (출근) 8:00 ~ 10:30 / (퇴근) : 17:00 ~ 19:30
ㆍ자유로운 반차, 반반차, 시간차 사용 가능 (1분 단위 휴가를 사용할 수 있어 활용도가 높아요)
ㆍ근무 중 개인용무에 따른 휴게시간 활용이 가능합니다. (관공서, 병원, 은행 방문 등)
ㆍ최신 고사양 업무 장비 및"
job/DE/sources/jobkorea/txt/03153043-fd2e-455f-8bf6-5f28ecd02d10.txt,,"지원자격
모집부문
직무
ㆍR&D (기계부품 / 기계시스템 / 시험해석 / 제어 / 전력전자 등)
직무
ㆍ설계 (기계설계 / 전기설계 / 설계표준화 등)
직무
ㆍ제조 (생산 / 구매 / 품질 / 출하 등)
직무
ㆍDT (Big Data / 스마트팩토리 / IoT시스템 개발 등)
직무
ㆍ영업 (제품영업 / 서비스영업 / 해외영업 등)
직무
ㆍ기술지원 (영업기술 / 설치기술 / 서비스기술 등)
직무
ㆍ경영관리 (회계 / 재정 / 전략 / ESG 등)
직무
ㆍ경영지원 (인사 / 노무 / 교육 / 총무 / 홍보 / 법무 등)
직무
ㆍ안전 (안전기획 / 안전관리 등)",
job/DE/sources/jobkorea/txt/0359701a-92b8-4968-b6e9-f7fc67f76392.txt,담당업무,"자격요건 
 AI 기반 비전시스템 
R&D 연구개발
[AI 기반 비전시스템 분야 연구개발 업무]

AI 빅데이터 서비스 R&D 기획 및 설계/개발
과학기술 정부 R&D 연구개발 
AI 비전 기반 제품 이미지 인식 결함판정 AI 알고리즘 연구개발
지속적인 모델 성능개선 및 고도화 연구개발
학력: 학사이상(졸업예정자 가능)
경력: 신입, 경력
Python, C++, Tensorflow, Keras, OpenCV 등 개발 가능자
 머신러닝/딥러닝에 대한 폭넓은 기본지식
최신 연구논문에 대한 이해 및 활용 가능자
AI 빅데이터 관련분야의 흥미 및 열정적인 연구 가능자","[우대조건]
관련분야 석사 이상 우대 
유관업무 경력자 (2년)
장기근무 가능자
자격증: 정보처리기사
전공: 전산학·컴퓨터공학, 산업공학, 통계학
AI 빅데이터 관련 정부과제 연구개발 경험자
AI 빅데이터 관련 솔루션 개발 실무경험자
JAVA/JSP, Node.JS, SQL/NoSQL DB, Linux, NT 등 개발 경험자                                        
근무조건
근무형태 : 정규직(수습:3개월)"
job/DE/sources/jobkorea/txt/04114d5f-3bf2-481e-b7c8-c3e3f7424114.txt,"주요업무
? Dual-arm robot control using reinforcement learning
    - Robot behavior generator
    - Fastening various connectors and devices
    - Assembling various objects
? Reinforcement learning training simulation 개발
? Robot operation system 개발","자격요건
? 관련 분야 학위자(컴퓨터공학, 인공지능학과 등)
? Linux 환경에서 C/C++, Python 개발 경험
? 강화학습 이론에 대한 깊은 이해 및 최신 Deep Learning 기술에 대한 폭 넓은 이해
? Deep Learning framework(PyTorch, TensorFlow 등) 구현 경험
? 물리 엔진 기반의 시뮬레이션을 사용한 강화학습 환경 구축 경험
? 최신 기술의 동향에 대해 지속적인 관심을 갖고 다른 사람들과 공유하는 것을 즐기는 사람","우대사항
? 해당 분야 석사/박사 학위 혹은 3년 이상의 경력을 갖춘 분
? Imitation Learning, Offline Learning에 대한 깊은 이해 및 경험이 있으신분
? 실제 Manipulator를 사용한 강화학습 프로젝트 진행 경험이 있으신 분
? Robotics에 대한 이해 및 경험이 있으신 분
? ROS2, Isaac sim 개발 경험이 있으신 분

복지 및 혜택
[조직 문화]
? 플라이퍼는 ""~님""이라는 호칭을 사용해 서로를 존중해요.
? 우리는 불필요한 회의를 최소화하고 오로지 업무에 집중할 수 있는 환경을 선호해요.
? 어떤 고민이 있을 시 리더 혹은 CEO와 언제든 자유롭게 1:1 미팅을 할 수 있어요.
? 의무적 회식은 그만! 누구든지 자유롭게 참여할 수 있는 회식 문화에요.
? 우리는 성과에 따른 합당한 인센티브를 제공해 드립니다. 
? 새로운 도전을 하다 실패하더라도 의미 있는 실패는 당연히 인센티브를 지급해 드려요

[근무 환경]
? 제일 핫한 장소인 신분당선 판교역에서 10분 거리인 `유스페이스` 에서 일해요.
? 10시 이전, 4시 이후 자율 출/퇴근을 지향하고 있어요.
? 점심시간이 30분 늘었어요! 1시간 30분 동안 에너지를 재충전하고 활기차게 오후 업무를 시작해요.
? 별도의 승인 없이 연차, 반차, 보건휴가(무급), 비상 휴가 등 자유롭게 사용 가능해요.
? 효율적인 업무 진행을 위해 장비(랩톱, 데스크톱, 맥북, 모니터 등) 및 소프트웨어 등 지원을 아낌없이 지원해 드려요.

[복지 환경]
? 개인의 성장과 업무 역량 향상을 위한 교육비, 도서구입비 등 자기계발비를 지원해 드려요.
? 생일을 맞이한 플라이퍼는 생일 케이크도 받고 조기 퇴근도 할 수 있어요.
? 원하는 음료 및 간식이 무제한으로 구비되어 있어요.
? 늦게까지 열심히 일하시는 플라이퍼들을 위한 야근 식비 및 야근 교통비를 지원해 드려요.
? 가족들과 함께 풍성한 날을 위한 명절 선물을 지원해 드려요.
? 장기근속자분들에게는 리프레시 휴가를 제공해 드리고 있습니다.
? 플라이퍼를 위한 특별한 종합 건강 검진 프로그램을 지원해드립니다.

["
job/DE/sources/jobkorea/txt/0416e403-42f2-40c0-85c1-3dc1ce8e4b17.txt,,"자격요건
토목설계(항만)분야 
(0명)
직무내용
ㆍ항만설계
ㆍ근무부서 : 항만부

자격요건
ㆍ토목기사 자격증 소지자
ㆍ4년제 대학교 토목공학 관련 전공 졸업  또는 졸업예정자","우대사항
ㆍ석사학위 수여자

수치모델링
( 기술연구소 : 0명 )
[신입]
직무내용
ㆍ 항만 / 해안 / 해양기상 수치 모델링
ㆍ 수치모델링 결과 분석(빅데이터 자료처리, 통계분석) 및 보고서 작성

자격사항
ㆍ 토목 / 해양 / 조선 / 해양환경 / 컴퓨터공학 / 수학통계 대졸 이상

ㆍPython, Matlab, Fortran 등 프로그래밍 언어 및 Linux OS 사용 가능자
ㆍ MS 오피스 및 한컴 오피스 사용 가능자

우대사항
ㆍ 관련분야 석박사 학위 소지자
ㆍ 관련분야 자격증(기사, 기술사) 소지자

[경력]

직무내용
ㆍ 수치모형실험 결과 검토
ㆍ R&D 업무 경험 보유자

자격사항
ㆍ 항만 / 해안 / 해야기상 / 해수유동 수치모델링 가능자
ㆍ AI 기반 예측 프로그램(시계열 데이터, 영상처리 등) 개발 가능자
ㆍ 빅데이터 자료처리 및 분석 가능자

우대사항
ㆍ 관련분야 석박사 학위 소지자
ㆍ 관련분야 자격증(기사, 기술사) 소지자"
job/DE/sources/jobkorea/txt/04179d54-0bfb-41db-85f0-225af7b3fa69.txt,"주요업무
? 사내 AI Vision 팀 및 AI Motion 팀과 협력하여 각 팀들의 작업을 이해하고 필요한 솔루션 제공
? 지속적인 학습이 가능한 시스템 구축
? 다양한 task 를 처리할 수 있는 통합된 단일 모델 개발
? 머신 러닝, 딥러닝 또는 강화 학습 분야의 최신 연구 동향 파악","자격요건
? 컴퓨터 공학, 머신 러닝, 인공지능 또는 관련 분야의 석사 학위 또는 3년 이상 경력자
? 머신러닝, 딥 러닝 또는 강화 학습 분야에서의 다양한 프로젝트 및 경험이 있으신 분
? TensorFlow, PyTorch 등과 같은 ML 프레임워크 사용 경험이 있으신 분 
? 수학, 통계 및 선형 대수학 등 머신 러닝과 관련된 분야에 대한 이해력이 있으신 분
? 빠르게 변화하는 스타트업에서의 근무 경험이 있으며 도전과 성취를 즐기시는 분
? 프로젝트를 성공적으로 완료하기 위해 강한 책임감을 가지고 시간을 투자할 수 있는 분","우대사항
? Airflow, MLflow, Nvidia TAO toolkit 등을 이용한 MLOps 개발 경험이 있으신 분
? Kubernetes 또는 Docker 개발 경험이 있으신 분
? 머신러닝, 딥 러닝 또는 강화 학습 분야의 논문을 읽고 이해하여 정확하고 빠르게 구현 가능하신 분
? 머신러닝, 딥 러닝 또는 강화 학습 분야의 학회나 저널에 논문 게재 경험이 있으신 분

복지 및 혜택
[조직 문화]
? 플라이퍼는 ""~님""이라는 호칭을 사용해 서로를 존중해요.
? 우리는 불필요한 회의를 최소화하고 오로지 업무에 집중할 수 있는 환경을 선호해요.
? 어떤 고민이 있을 시 리더 혹은 CEO와 언제든 자유롭게 1:1 미팅을 할 수 있어요.
? 의무적 회식은 그만! 누구든지 자유롭게 참여할 수 있는 회식 문화에요.
? 우리는 성과에 따른 합당한 인센티브를 제공해 드립니다. 
? 새로운 도전을 하다 실패하더라도 의미 있는 실패는 당연히 인센티브를 지급해 드려요

[근무 환경]
? 제일 핫한 장소인 신분당선 판교역에서 10분 거리인 ""유스페이스""에서 일해요.
? 10시 이전, 4시 이후 자율 출/퇴근을 지향하고 있어요.
? 점심시간이 30분 늘었어요! 1시간 30분 동안 에너지를 재충전하고 활기차게 오후 업무를 시작해요.
? 별도의 승인 없이 연차, 반차, 보건휴가(무급), 비상 휴가 등 자유롭게 사용 가능해요.
? 효율적인 업무 진행을 위해 장비(랩톱, 데스크톱, 맥북, 모니터 등) 및 소프트웨어 등 지원을 아낌없이 지원해 드려요.

[복지 환경]
? 생일을 맞이한 플라이퍼는 생일 케이크도 받고 조기 퇴근도 할 수 있어요.
? 원하는 음료 및 간식이 무제한으로 구비되어 있어요.
? 불가피한 야근 시, 저녁 식비 및 야근 교통비를 지원해 드려요.
? 명절 선물을 지급하고 있어요.
? 장기근속자분들에게는 리프레시 휴가를 제공해 드리고 있습니다.
? 플라이퍼를 위한 특별한 종합 건강 검진 프로그램을 지원해드립니다.


["
job/DE/sources/jobkorea/txt/04196b26-f486-4c0c-9130-3dd35f21383a.txt,"담당업무
ㆍ클라우드 보안 운영(SG, IAM, F/W 등) 및 관리
ㆍ클라우드 보안 솔루션 운영(CNAPP) 및 관리
ㆍ클라우드 인프라 아키텍처 보안성 검토","자격요건
클라우드 보안운영","우대사항
ㆍ클라우드 관련 분야 자격증 보유자(AWS Security specialist 등)
ㆍCSP Native Service를 활용하여 CSPM, CIEM, CWPP, CNAPP, IAM를 
    설계, 기획, 구축 경험자
ㆍ클라우드 보안 시스템 및 솔루션 도입을 위한 POC, BMT 경험 보유
지원자격
ㆍ국내/해외 4년제 대학교 이상 졸업자
ㆍ남성의 경우 군필 또는 면제자
ㆍ해외여행에 결격 사유가 없는자
ㆍ당사 사규상 채용에 결격 사유가 없는 자

우대사항
ㆍ「장애인고용촉진 및 직업재활법」에 의한 장애인
ㆍ「국가유공자 등 예우 및 지원에 관한 법률」에 의한 취업보호대상자"
